Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
AAAD,50,1,13679,FYS DEFINING BLACKNESS,3,,,,,"Mosquera Muriel,Nadia",TRUE
AAAD,58,1,13680,HEALTH INEQUALITY,3,TuTh,14:00 - 15:15,Graham Memorial,210,"BOYD,LYDIA C",FALSE
AAAD,89,1,12035,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 AFRO-LATINX IN THE U,Peabody Hall,2080,"Berry,Maya Janeen",FALSE
AAAD,89,2,12037,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 WOMEN OF THE BLACK A,Graham Memorial,213,"Monroe,Alicia Lenis",FALSE
AAAD,101,1,6942,INTRO TO AFRICA,3,MW,15:35 - 16:50,New West,219,"Birya,Raphael Kalu",FALSE
AAAD,101,2,6943,INTRO TO AFRICA,3,MWF,10:10 - 11:00,Gardner Hall,308,"LAMBERT,MICHAEL C",FALSE
AAAD,101,3,6944,INTRO TO AFRICA,3,TuTh,19:00 - 20:15,Gardner Hall,308,"Sebastian,Matthew Ryan",FALSE
AAAD,130,1,7859,INTRO AFRI AMER & DIASPORA STD,3,TuTh,11:00 - 12:15,Dey Hall,206,"Monroe,Alicia Lenis",FALSE
AAAD,130,2,7209,INTRO AFRI AMER & DIASPORA STD,3,MW,15:35 - 16:50,Murphey Hall,104,"Porter,Robert S.",FALSE
AAAD,130,3,8615,INTRO AFRI AMER & DIASPORA STD,3,TuTh,09:30 - 10:45,Dey Hall,206,"Regester,Charlene B.",FALSE
AAAD,130,4,13683,INTRO AFRI AMER & DIASPORA STD,3,TuTh,14:00 - 15:15,Phillips Hall,247,"Samuel,Petal KImberly",FALSE
AAAD,200,1,13684,GENDER & SEXUALITY IN AFRICA,3,TuTh,15:30 - 16:45,Hanes Art Center,218,"BOYD,LYDIA C",FALSE
AAAD,214,1,12040,ETHNOGRAPHY OF AFRICA,3,MW,13:25 - 14:25,Murray Hall,G201,"LAMBERT,MICHAEL C",FALSE
AAAD,231,1,13686,AFRI AMER HISTORY SINCE 1865,3,TuTh,09:30 - 10:45,Stone Center,209,"Brimmer,Brandi Clay",FALSE
AAAD,250,1,12043,BLACKS IN FILM,3,Tu,14:00 - 16:50,Peabody Hall,2080,"Regester,Charlene B.",FALSE
AAAD,252,1,12046,AFRICAN AMERICANS IN THE WEST,3,MW,17:45 - 19:00,Gardner Hall,7,"Porter,Robert S.",FALSE
AAAD,258,1,11055,CIVIL RIGHTS,3,TuTh,09:30 - 10:45,Phillips Hall,328,"JANKEN,KENNETH R",FALSE
AAAD,260,1,12048,BLACKNESS IN LATIN AMERICA,3,TuTh,11:00 - 12:15,Gardner Hall,210,"Mosquera Muriel,Nadia",FALSE
AAAD,261,1,12049,AFRO-CUBAN DANCE,3,TuTh,14:00 - 15:15,Caldwell Hall,105,"Berry,Maya Janeen",FALSE
AAAD,284,1,6945,AFRICAN DIASP IN THE AMERICAS,3,TuTh,15:30 - 16:45,Phillips Hall,328,"JORDAN,JOSEPH F",FALSE
AAAD,286,1,8981,AFRICANS IN COLONIAL AMERICAS,3,Tu,19:30 - 22:00,Gardner Hall,7,"Porter,Robert S.",FALSE
AAAD,288,1,13687,GLOBAL BLACK POPULAR CULTURES,3,MW,15:35 - 16:50,Gardner Hall,7,"Camara,Samba",FALSE
