Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
AAAD,51,1,13904,FYS MASQS OF BLACKNESS,3,,,,,"Regester,Charlene B.",TRUE
AAAD,53,1,13905,EXPERIMENT GLOBAL BLACK MUSIC,3,MW,10:10 - 11:25,Global Center,3024,"PIER,DAVID",FALSE
AAAD,89,1,12072,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 CARIBBEAN FEM AND QU,Mitchell,9,"Samuel,Petal KImberly",FALSE
AAAD,101,1,3413,INTRO TO AFRICA,3,TuTh,15:30 - 16:45,Dey Hall,206,"Birya,Raphael Kalu",FALSE
AAAD,101,2,3415,INTRO TO AFRICA,3,MWF,10:10 - 11:00,Davie,301,"Camara,Samba",FALSE
AAAD,101,3,3551,INTRO TO AFRICA,3,MW,12:20 - 13:35,Davie,301,"PIER,DAVID",FALSE
AAAD,101,4,15128,INTRO TO AFRICA,3,TuTh,14:00 - 15:15,Kenan Laboratories,B125,"NZONGOLA-NTALAJA,GEORGES",FALSE
AAAD,130,1,3414,INTRO AFRI AMER & DIASPORA STD,3,TuTh,08:00 - 09:15,Dey Hall,206,"JANKEN,KENNETH R",FALSE
AAAD,130,2,3439,INTRO AFRI AMER & DIASPORA STD,3,TuTh,15:30 - 16:45,Gardner,308,"WILLIAMS II,RONALD",FALSE
AAAD,130,3,3440,INTRO AFRI AMER & DIASPORA STD,3,TuTh,14:00 - 15:15,Phillips,208,"Berry,Maya Janeen",FALSE
AAAD,201,1,3416,AFRICAN LITERATURE,3,MWF,09:05 - 09:55,Venable,G311,"Mwamzandi,Mohamed Yusuf",FALSE
AAAD,202,1,9442,AFRICAN FILM AND PERFORMANCE,3,MW,15:30 - 16:45,New West,219,"Camara,Samba",FALSE
AAAD,212,1,15127,AFRICA IN GLOBAL SYSTEM,3,TuTh,11:00 - 12:15,TBA,TBA,"NZONGOLA-NTALAJA,GEORGES",FALSE
AAAD,237,1,3972,AFRICAN AMER ART,3,TuTh,09:30 - 10:20,Phillips,265,"BOWLES,JOHN PARISH",FALSE
AAAD,250,1,13908,BLACKS IN FILM,3,Tu,14:00 - 16:50,Dey Hall,307,"Regester,Charlene B.",FALSE
AAAD,254,1,12077,AFRICAN AMERICANS IN NC,3,MW,17:45 - 19:00,Dey Hall,307,"Porter,Robert S.",FALSE
AAAD,259,1,12576,BLACKS & POP CULTUR,3,TuTh,15:30 - 16:45,Murray Hall,G201,"Massenburg,Christopher Dion",FALSE
AAAD,284,1,12082,AFRICAN DIASP IN THE AMERICAS,3,TuTh,14:00 - 15:15,Wilson,128,"JORDAN,JOSEPH F",FALSE
AAAD,286,1,13911,AFRICANS IN COLONIAL AMERICAS,3,TuTh,09:30 - 10:45,Dey Hall,307,"Monroe,Alicia Lenis",FALSE
AAAD,298,1,13912,BLACKS IN BRITISH N. AMER,3,Tu,19:30 - 22:00,Dey Hall,307,"Porter,Robert S.",FALSE
AAAD,329,1,10470,ISLAMIC CULTURES AND SOCIETIES,3,MW,15:35 - 16:50,Murray Hall,G201,"Mwamzandi,Mohamed Yusuf",FALSE
AAAD,332,1,13915,REMEMBERING RACE AND SLAVERY,3,MW,15:35 - 16:50,Dey Hall,307,"Porter,Robert S.",FALSE
AAAD,340,1,3760,DIASPORA ART,3,TuTh,15:30 - 16:45,Hanes Art Center,218,"JORDAN,JOSEPH F",FALSE
AAAD,388,1,10471,GLOBAL BLACK FEMINISMS,3,TuTh,15:30 - 16:45,Gardner,106,"Samuel,Petal KImberly",FALSE
AAAD,391,1,13916,HUM. DEV. & SUSTAINABILITY,3,TuTh,11:00 - 12:15,Stone Center,209,"Hudani,Shakirah",FALSE
AAAD,403,1,13918,HUMAN RIGHTS IN AFRICA,3,TuTh,11:00 - 12:15,Stone Center,210,"SAHLE,EUNICE N",FALSE
AAAD,461,1,13919,"RACE, GENDER, & ACTIVISM CUBA",3,TuTh,12:30 - 13:45,Global Center,3024,"Berry,Maya Janeen",FALSE
AAAD,466,1,12116,RACE/GENDER ATLANTIC WORLD,3,Tu,15:30 - 18:30,Greenlaw,106,"Monroe,Alicia Lenis",FALSE
AAAD,486,1,13837,AFRI IN AMER IMAGINATION,3,MWF,10:10 - 11:00,Hanes Art Center,117,"MAGEE,CAROL L",FALSE
AAAD,487,1,3441,INTELLECTUAL CURRENTS,3,MW,13:25 - 14:40,Hanes Art Center,116,"Clegg,Claude Andrew",FALSE
AAAD,491,1,12122,"CLASS, RACE, INEQUAL IN AMER",3,TuTh,09:30 - 10:45,Greenlaw,305,"JANKEN,KENNETH R",FALSE
AAAD,492,1,14661,URBANISM IN THE GLOBAL SOUTH,3,MW,11:00 - 12:15,Greenlaw,305,"Hudani,Shakirah",FALSE
LGLA,402,1,2393,ELEM LINGALA II,3,TBA,TBA,TBA,TBA,Staff,FALSE
SWAH,402,1,2394,ELEM KISWAHILI II,3,MWF,12:20 - 13:10,Mitchell,9,"Birya,Raphael Kalu",FALSE
SWAH,402,2,3929,ELEM KISWAHILI II,3,MWF,10:10 - 11:00,Greenlaw,318,"Mwamzandi,Mohamed Yusuf",FALSE
SWAH,404,1,2395,KISWAHILI 4,3,,,,,"Mwamzandi,Mohamed Yusuf",TRUE
SWAH,406,1,4226,KISWAHILI VI,3,MWF,10:10 - 11:00,TBA,TBA,"Birya,Raphael Kalu",FALSE
SWAH,408,1,4261,SWAHILI LAC,1,,,,,"Mwamzandi,Mohamed Yusuf",TRUE
WOLO,402,1,5064,WOLOF II,3,MWF,09:05 - 09:55,Davie,301,"Camara,Samba",FALSE
YORU,402,1,10736,ELEMENTARY YORUBA II,3,TuTh,11:00 - 12:15,TBA,TBA,"Oladejo,Oluyemisi",FALSE
AERO,102,1,1744,HERITAGE AND VALUES OF USAF,1,Tu,08:30 - 09:20,Naval ROTC Armory,6,"Vihlen,Brie Hudson",FALSE
AERO,202,1,2561,LEADERSHIP FUNDAMENTALS II,1,Tu,09:30 - 10:20,Naval ROTC Armory,6,"Vihlen,Brie Hudson",FALSE
AERO,302,1,10311,LDRSHP & EFFECTIVE COMM II,3,TuTh,11:00 - 12:15,Naval ROTC Armory,6,"Vihlen,Brie Hudson",FALSE
AERO,401,1,15891,NAT'L SECURITY AFFAIRS,3,TBA,TBA,TBA,TBA,"Vihlen,Brie Hudson",FALSE
AERO,402,1,11964,AF OFF CON AMER SOC,3,TBA,TBA,TBA,TBA,"Vihlen,Brie Hudson",FALSE
AMST,89,1,12093,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 Asian American South,Hanes Art Center,218,"Douglas,Kita Kim",FALSE
AMST,89,2,14694,FYS: SPECIAL TOPICS,3,TuTh,09:30 - 10:45 What is Critical Rac,Alumni,207,"RICHOTTE Jr,KEITH S",FALSE
AMST,102,1,12135,MYTH AND HISTORY IN AM. MEMORY,3,MW,10:10 - 11:00,Murphey,116,"MARR,TIMOTHY W",FALSE
AMST,202,1,14130,HIST APPROACHES AMER STUDIES,3,MWF,09:05 - 09:55,Greenlaw,318,"Dalton,Khalil Nyla",FALSE
AMST,210,1,15020,"THIS PLACE CALLED ""THE SOUTH""",3,MWF,10:10 - 11:00,Greenlaw,301,"Faircloth,Zachary Hart",FALSE
AMST,211,1,14131,SOUTHERN STUDIES LITCULT,3,TuTh,09:30 - 10:45,TBA,TBA,"Alexander,Kelly",FALSE
AMST,235,1,9394,NATIVE AMERICA 20TH C,3,MW,11:15 - 12:05,Fetzer Hall,109,"COBB,DANIEL M",FALSE
AMST,235,602,9396,NATIVE AMERICA 20TH C Recitation 3 A (In Person On Campus Learners),3,F,12:20 - 13:10,Davie,101,"Mcclure,Paige Elizabeth",FALSE
AMST,253,1,11745,JEWISH WOMEN IN AMERICA,3,TuTh,09:30 - 10:45,Dey Hall,203,"Hinderliter,Jillian Michele",FALSE
AMST,265,1,12781,THE BLACK INTERIOR,3,TuTh,14:00 - 15:15,Graham Memorial,38,"Randolph,Antonia Maria",FALSE
AMST,277,1,14132,AMERICA GLOBAL ENVIRONMENT,3,TuTh,11:00 - 12:15,Carolina Hall,220,"WILLIS,RACHEL",FALSE
AMST,284,2,15047,VISUAL CULTURE,3,MW,14:30 - 15:20,Mitchell,5,Staff,FALSE
AMST,284,603,15108,VISUAL CULTURE Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Dey Hall,402,"Wheeler,Shannon Jane",FALSE
AMST,339,1,14134,LONG 1960S IN NATIVE AMERICA,3,MW,13:25 - 14:15,Murphey,112,"COBB,DANIEL M",FALSE
AMST,365,1,14698,WOMEN AND DETECTIVE FICTION,3,MWF,09:05 - 09:55,Peabody,2094,"ROBINSON,MIRIAM MICHELLE",FALSE
AMST,396,1,5875,INDEP STDY AMST,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,396,2,10000,INDEP STDY AMST,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,396,3,10022,INDEP STDY AMST,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,396,4,11027,INDEP STDY AMST,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,486,1,14696,JEWISH SOUTH,3,MW,15:35 - 16:50,Alumni,205,"FERRIS,MARCIE C",FALSE
AMST,493,1,5305,INTERNSHIP,1,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,498,1,14695,ADV SEMINAR IN AMER STUDIES,3,Th,15:30 - 18:30,Carolina Hall,104,"Alexander,Kelly",FALSE
AMST,510,2,15033,FEDERAL INDIAN LAW & POLICY,3,TuTh,12:30 - 13:45,Dey Hall,202,"RICHOTTE Jr,KEITH S",FALSE
AMST,641,1,14137,COMMUNICATING WATER CHALLENGES,3,TuTh,14:00 - 15:15,Carolina Hall,104,"WILLIS,RACHEL",FALSE
AMST,701,1,4235,INTERDISC RESEARCH,3,W,15:35 - 18:35,Wilson,139,"MARR,TIMOTHY W",FALSE
AMST,795,1,5955,DIGITAL HUMANITIES FIELD EXP,1,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,895,1,4392,DIRECTED READINGS,3,TBA,TBA,TBA,TBA,"Berlinger,Gabrielle Anna",FALSE
AMST,895,2,4411,DIRECTED READINGS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,895,3,4792,DIRECTED READINGS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,895,4,5235,DIRECTED READINGS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,900,1,4827,DIRECTED STUDIES,0,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,900,2,10760,DIRECTED STUDIES,0,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,900,3,10792,DIRECTED STUDIES,0,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,900,4,11036,DIRECTED STUDIES,0,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,902,1,9399,PH.D. RESEARCH SEMINAR,3,M,15:35 - 18:35,Greenlaw,526A,"ROBINSON,MIRIAM MICHELLE",FALSE
AMST,992,1,4280,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,992,2,5534,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,993,1,10069,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,993,2,10685,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,993,3,10702,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
AMST,994,1,4281,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Alexander,Kelly",FALSE
AMST,994,2,4282,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Berlinger,Gabrielle Anna",FALSE
AMST,994,3,4283,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"COBB,DANIEL M",FALSE
AMST,994,4,4284,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Engelhardt,Elizabeth Sanders",FALSE
AMST,994,5,4285,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D",FALSE
AMST,994,6,4286,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"HOLLAND,SHARON PATRICIA",FALSE
AMST,994,7,4287,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Kelley,Blair Lynne Murphy",FALSE
AMST,994,8,5589,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Kotch,Seth M.",FALSE
AMST,994,9,12704,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"MARR,TIMOTHY W",FALSE
AMST,994,10,15048,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Randolph,Antonia Maria",FALSE
AMST,994,11,15049,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"RICHOTTE Jr,KEITH S",FALSE
AMST,994,12,15050,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"ROBINSON,MIRIAM MICHELLE",FALSE
AMST,994,13,15051,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"SAWIN,PATRICIA E",FALSE
AMST,994,14,15052,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"WILLIS,RACHEL",FALSE
