
--- Page 1 ---
Text: Report                         | x: N/A | y: 29.55200000000002
Text: ID:                            | x: N/A | y: 29.55200000000002
Text: SR201                          | x: N/A | y: 29.55200000000002
Text: UNC-Chapel                     | x: N/A | y: 27.940000000000055
Text: Hill                           | x: N/A | y: 27.940000000000055
Text: Page                           | x: N/A | y: 29.55200000000002
Text: No.                            | x: N/A | y: 29.55200000000002
Text: 1                              | x: N/A | y: 29.55200000000002
Text: of                             | x: N/A | y: 29.55200000000002
Text: 2850                           | x: N/A | y: 29.55200000000002
Text: Semester                       | x: N/A | y: 37.440000000000055
Text: Section                        | x: N/A | y: 37.440000000000055
Text: Book                           | x: N/A | y: 37.440000000000055
Text: For                            | x: N/A | y: 37.440000000000055
Text: 2024                           | x: N/A | y: 37.440000000000055
Text: Spring                         | x: N/A | y: 37.440000000000055
Text: Run                            | x: N/A | y: 39.05200000000002
Text: Date:                          | x: N/A | y: 39.05200000000002
Text: 1                              | x: N/A | y: 39.05200000000002
Text: 1/13/2023                      | x: N/A | y: 39.05200000000002
Text: Run                            | x: N/A | y: 48.55200000000002
Text: Time:                          | x: N/A | y: 48.55200000000002
Text: 1                              | x: N/A | y: 48.55200000000002
Text: 2:20:13                        | x: N/A | y: 48.55200000000002
Text: College                        | x: N/A | y: 65.94000000000005
Text: of                             | x: N/A | y: 65.94000000000005
Text: Arts                           | x: N/A | y: 65.94000000000005
Text: &                              | x: N/A | y: 65.94000000000005
Text: Sciences                       | x: N/A | y: 65.94000000000005
Text: -                              | x: N/A | y: 65.94000000000005
Text: African,                       | x: N/A | y: 65.94000000000005
Text: African                        | x: N/A | y: 65.94000000000005
Text: American,                      | x: N/A | y: 65.94000000000005
Text: &                              | x: N/A | y: 65.94000000000005
Text: Diaspora                       | x: N/A | y: 65.94000000000005
Text: Studies                        | x: N/A | y: 65.94000000000005
Text: -                              | x: N/A | y: 65.94000000000005
Text: Subject:                       | x: N/A | y: 65.94000000000005
Text: AFRI,                          | x: N/A | y: 65.94000000000005
Text: AFRI-AMER,                     | x: N/A | y: 65.94000000000005
Text: DIASPORA                       | x: N/A | y: 65.94000000000005
Text: STDS                           | x: N/A | y: 65.94000000000005
Text: __S_u_b_j_e_c_t____C_a_t_a_l_o_g_ | x: N/A | y: 96.05200000000002
Text: _N_b_r___S_e_c_t_i_o_n___C_l_a_s_s_ | x: N/A | y: 96.05200000000002
Text: _N_b_r____C_o_u_r_s_e_         | x: N/A | y: 96.05200000000002
Text: _T_i_t_l_e___________________C_o_m_p_o_n_e_n_t______________________U_n_i_t_s________T_o_p_i_c_s_________________________________ | x: N/A | y: 96.05200000000002
Text: AAAD                           | x: N/A | y: 105.55200000000002
Text: 51                             | x: N/A | y: 105.55200000000002
Text: 001                            | x: N/A | y: 105.55200000000002
Text: 13904                          | x: N/A | y: 105.55200000000002
Text: FYS                            | x: N/A | y: 105.55200000000002
Text: MASQS                          | x: N/A | y: 105.55200000000002
Text: OF                             | x: N/A | y: 105.55200000000002
Text: BLACKNESS                      | x: N/A | y: 105.55200000000002
Text: Lecture                        | x: N/A | y: 105.55200000000002
Text: 3                              | x: N/A | y: 105.55200000000002
Text: A                              | x: N/A | y: 105.55200000000002
Text: (In                            | x: N/A | y: 115.05200000000002
Text: Person                         | x: N/A | y: 115.05200000000002
Text: On                             | x: N/A | y: 115.05200000000002
Text: Campus                         | x: N/A | y: 115.05200000000002
Text: Learners)                      | x: N/A | y: 115.05200000000002
Text: Bldg:                          | x: N/A | y: 124.55200000000002
Text: Genome                         | x: N/A | y: 124.55200000000002
Text: Sciences                       | x: N/A | y: 124.55200000000002
Text: BuiRloom:                      | x: N/A | y: 124.55200000000002
Text: 1373                           | x: N/A | y: 124.55200000000002
Text: Days:                          | x: N/A | y: 124.55200000000002
Text: TuTh                           | x: N/A | y: 124.55200000000002
Text: Time:                          | x: N/A | y: 124.55200000000002
Text: 09:30                          | x: N/A | y: 124.55200000000002
Text: -                              | x: N/A | y: 124.55200000000002
Text: 10:45                          | x: N/A | y: 124.55200000000002
Text: INST                           | x: N/A | y: 134.05200000000002
Text: 100                            | x: N/A | y: 134.05200000000002
Text: Instructor:                    | x: N/A | y: 134.05200000000002
Text: Regester,Charlene              | x: N/A | y: 134.05200000000002
Text: B.                             | x: N/A | y: 134.05200000000002
Text: Class                          | x: N/A | y: 153.05200000000002
Text: Enrl                           | x: N/A | y: 153.05200000000002
Text: Cap:24                         | x: N/A | y: 153.05200000000002
Text: Class                          | x: N/A | y: 153.05200000000002
Text: Enrl                           | x: N/A | y: 153.05200000000002
Text: Tot:7                          | x: N/A | y: 153.05200000000002
Text: Class                          | x: N/A | y: 153.05200000000002
Text: Wait                           | x: N/A | y: 153.05200000000002
Text: Cap:0                          | x: N/A | y: 153.05200000000002
Text: Class                          | x: N/A | y: 153.05200000000002
Text: Wait                           | x: N/A | y: 153.05200000000002
Text: Tot:0                          | x: N/A | y: 153.05200000000002
Text: Class                          | x: N/A | y: 153.05200000000002
Text: Min                            | x: N/A | y: 153.05200000000002
Text: Enrl:0                         | x: N/A | y: 153.05200000000002
Text: GR1                            | x: N/A | y: 172.05200000000002
Text: Attributes:                    | x: N/A | y: 181.55200000000002
Text: VP-                            | x: N/A | y: 181.55200000000002
Text: Visual                         | x: N/A | y: 181.55200000000002
Text: or                             | x: N/A | y: 181.55200000000002
Text: Performing                     | x: N/A | y: 181.55200000000002
Text: Arts,                          | x: N/A | y: 181.55200000000002
Text: US-                            | x: N/A | y: 181.55200000000002
Text: U.S.                           | x: N/A | y: 181.55200000000002
Text: Diversity,                     | x: N/A | y: 181.55200000000002
