Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AAAD,50,001,13679,FYS DEFINING BLACKNESS,3,TuTh,15:30 - 16:45,Genome Sciences Building RBuilding,1373,"Mosquera Muriel,Nadia"
AAAD,58,001,13680,HEALTH INEQUALITY,3,TuTh,14:00 - 15:15,Graham Memorial RBuilding,0210,"BOYD,LYDIA C"
AAAD,89,001,12035,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 AFRO-LATINX IN THE U,Peabody Hall RBuilding,2080,"Berry,Maya Janeen"
AAAD,89,002,12037,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 WOMEN OF THE BLACK A,Graham Memorial RBuilding,0213,"Monroe,Alicia Lenis"
AAAD,101,001,6942,INTRO TO AFRICA,3,MW,15:35 - 16:50,New West RBuilding,0219,"Birya,Raphael Kalu"
AAAD,101,002,6943,INTRO TO AFRICA,3,MWF,10:10 - 11:00,Gardner Hall RBuilding,0308,"LAMBERT,MICHAEL C"
AAAD,101,003,6944,INTRO TO AFRICA,3,TuTh,19:00 - 20:15,Gardner Hall RBuilding,0308,"Sebastian,Matthew Ryan"
AAAD,130,001,7859,INTRO AFRI AMER & DIASPORA STD,3,TuTh,11:00 - 12:15,Dey Hall RBuilding,0206,"Monroe,Alicia Lenis"
AAAD,130,002,7209,INTRO AFRI AMER & DIASPORA STD,3,MW,15:35 - 16:50,Murphey Hall RBuilding,0104,"Porter,Robert S."
AAAD,130,003,8615,INTRO AFRI AMER & DIASPORA STD,3,TuTh,09:30 - 10:45,Dey Hall RBuilding,0206,"Regester,Charlene B."
AAAD,130,004,13683,INTRO AFRI AMER & DIASPORA STD,3,TuTh,14:00 - 15:15,Phillips Hall RBuilding,0247,"Samuel,Petal KImberly"
AAAD,200,001,13684,GENDER & SEXUALITY IN AFRICA,3,TuTh,15:30 - 16:45,Hanes Art Center RBuilding,0218,"BOYD,LYDIA C"
AAAD,214,001,12040,ETHNOGRAPHY OF AFRICA,3,MW,13:25 - 14:25,Murray Hall RBuilding,G201,"LAMBERT,MICHAEL C"
AAAD,231,001,13686,AFRI AMER HISTORY SINCE 1865,3,TuTh,09:30 - 10:45,Stone Center RBuilding,0209,"Brimmer,Brandi Clay"
AAAD,250,001,12043,BLACKS IN FILM,3,Tu,14:00 - 16:50,Peabody Hall RBuilding,2080,"Regester,Charlene B."
AAAD,252,001,12046,AFRICAN AMERICANS IN THE WEST,3,MW,17:45 - 19:00,Gardner Hall RBuilding,0007,"Porter,Robert S."
AAAD,258,001,11055,CIVIL RIGHTS,3,TuTh,09:30 - 10:45,Phillips Hall RBuilding,0328,"JANKEN,KENNETH R"
AAAD,260,001,12048,BLACKNESS IN LATIN AMERICA,3,TuTh,11:00 - 12:15,Gardner Hall RBuilding,0210,"Mosquera Muriel,Nadia"
AAAD,261,001,12049,AFRO-CUBAN DANCE,3,TuTh,14:00 - 15:15,Caldwell Hall RBuilding,0105,"Berry,Maya Janeen"
AAAD,284,001,6945,AFRICAN DIASP IN THE AMERICAS,3,TuTh,15:30 - 16:45,Phillips Hall RBuilding,0328,"JORDAN,JOSEPH F"
AAAD,286,001,8981,AFRICANS IN COLONIAL AMERICAS,3,Tu,19:30 - 22:00,Gardner Hall RBuilding,0007,"Porter,Robert S."
AAAD,288,001,13687,GLOBAL BLACK POPULAR CULTURES,3,MW,15:35 - 16:50,Gardner Hall RBuilding,0007,"Camara,Samba"
AAAD,303,001,13688,ISLAMIC CULTURE CONTEMP AFRICA,3,MWF,10:10 - 11:00,Stone Center RBuilding,0209,"Camara,Samba"
