Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AAAD,51,001,13904,FYS MASQS OF BLACKNESS,3,TuTh,09:30 - 10:45,Genome Sciences Building RBuilding,1373,"Regester,Charlene B."
AAAD,53,001,13905,EXPERIMENT GLOBAL BLACK MUSIC,3,MW,10:10 - 11:25,Global Center RBuilding,3024,"PIER,DAVID"
AAAD,89,001,12072,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 CARIBBEAN FEM AND QU,Mitchell RBuilding,0009,"Samuel,Petal KImberly"
AAAD,101,001,3413,INTRO TO AFRICA,3,TuTh,15:30 - 16:45,Dey Hall RBuilding,0206,"Birya,Raphael Kalu"
AAAD,101,002,3415,INTRO TO AFRICA,3,MWF,10:10 - 11:00,Davie RBuilding,0301,"Camara,Samba"
AAAD,101,003,3551,INTRO TO AFRICA,3,MW,12:20 - 13:35,Davie RBuilding,0301,"PIER,DAVID"
AAAD,101,004,15128,INTRO TO AFRICA,3,TuTh,14:00 - 15:15,Kenan Laboratories RBuilding,B125,"NZONGOLA-NTALAJA,GEORGES"
AAAD,130,001,3414,INTRO AFRI AMER & DIASPORA STD,3,TuTh,08:00 - 09:15,Dey Hall RBuilding,0206,"JANKEN,KENNETH R"
AAAD,130,002,3439,INTRO AFRI AMER & DIASPORA STD,3,TuTh,15:30 - 16:45,Gardner RBuilding,0308,"WILLIAMS II,RONALD"
AAAD,130,003,3440,INTRO AFRI AMER & DIASPORA STD,3,TuTh,14:00 - 15:15,Phillips RBuilding,0208,"Berry,Maya Janeen"
AAAD,201,001,3416,AFRICAN LITERATURE,3,MWF,09:05 - 09:55,Venable RBuilding,G311,"Mwamzandi,Mohamed Yusuf"
AAAD,202,001,9442,AFRICAN FILM AND PERFORMANCE,3,MW,15:30 - 16:45,New West RBuilding,0219,"Camara,Samba"
AAAD,212,001,15127,AFRICA IN GLOBAL SYSTEM,3,TuTh,11:00 - 12:15,TBA RBuilding,TBA,"NZONGOLA-NTALAJA,GEORGES"
AAAD,237,001,3972,AFRICAN AMER ART,3,TuTh,09:30 - 10:20,Phillips RBuilding,0265,"BOWLES,JOHN PARISH"
AAAD,250,001,13908,BLACKS IN FILM,3,Tu,14:00 - 16:50,Dey Hall RBuilding,0307,"Regester,Charlene B."
AAAD,254,001,12077,AFRICAN AMERICANS IN NC,3,MW,17:45 - 19:00,Dey Hall RBuilding,0307,"Porter,Robert S."
